,feature,i,y_true,pred_bin,pred_prob
0,TARGET,0,0,0,0.3094824112669695
1,TARGET,1,0,0,0.3339679152297418
2,TARGET,2,0,0,0.32887536066371953
3,TARGET,3,0,0,0.3091114749190655
4,TARGET,4,0,0,0.3131838078150961
5,TARGET,5,1,0,0.3140967386729959
6,TARGET,6,1,0,0.30321163018056013
7,TARGET,7,1,0,0.3055138753145405
8,TARGET,8,1,0,0.3072907304023656
9,TARGET,9,0,0,0.3165704655647714
10,TARGET,10,0,0,0.334173536330487
11,TARGET,11,0,0,0.31462022253936234
12,TARGET,12,0,0,0.3280901606066947
13,TARGET,13,0,0,0.3084596379192692
14,TARGET,14,0,0,0.3084596379192692
15,TARGET,15,0,0,0.3202771342039004
16,TARGET,16,0,0,0.33481779671823036
17,TARGET,17,0,0,0.3084596379192692
18,TARGET,18,0,0,0.32833760587760785
19,TARGET,19,0,0,0.31305883900276676
20,TARGET,20,0,0,0.3172805711275216
21,TARGET,21,1,0,0.30373173873557574
22,TARGET,22,1,0,0.33002255375056044
23,TARGET,23,1,0,0.31654690894865894
24,TARGET,24,0,0,0.3104472419569831
25,TARGET,25,1,0,0.3378741460773152
26,TARGET,26,0,0,0.3182977358600854
27,TARGET,27,0,0,0.3334679360692658
28,TARGET,28,0,0,0.3084596379192692
29,TARGET,29,1,0,0.3168867085096369
30,TARGET,30,0,0,0.31982124623476127
31,TARGET,31,0,0,0.31280268912927084
32,TARGET,32,0,0,0.32614177194497773
33,TARGET,33,0,0,0.31649546884494045
34,TARGET,34,1,0,0.35425999403677505
35,TARGET,35,0,0,0.3084596379192692
36,TARGET,36,1,0,0.3015565281312859
37,TARGET,37,0,0,0.3311784364825268
38,TARGET,38,1,0,0.30763114043713513
39,TARGET,39,1,0,0.36039692323749156
40,TARGET,40,0,0,0.3490068037432756
41,TARGET,41,0,0,0.31341986000166333
42,TARGET,42,1,0,0.36361868020146415
43,TARGET,43,1,0,0.3299438013933276
44,TARGET,44,1,0,0.30968972670641765
45,TARGET,45,0,0,0.3341103876574149
46,TARGET,46,1,0,0.29754511975647274
47,TARGET,47,1,0,0.29754511975647274
48,TARGET,48,0,0,0.32991355484587825
49,TARGET,49,0,0,0.31090373619955153
50,TARGET,50,1,0,0.29754511975647274
51,TARGET,51,0,0,0.3399514763630699
52,TARGET,52,1,0,0.2987959835231681
53,TARGET,53,1,0,0.3145330155495589
54,TARGET,54,1,0,0.29754511975647274
55,TARGET,55,0,0,0.33888952717572246
56,TARGET,56,1,0,0.31551113904251354
57,TARGET,57,1,0,0.3161572988932913
58,TARGET,58,0,0,0.3094569807253575
59,TARGET,59,1,0,0.29754511975647274
60,TARGET,60,0,0,0.35785257599973713
61,TARGET,61,0,0,0.33745796648784143
62,TARGET,62,1,0,0.30612613592729965
63,TARGET,63,0,0,0.33348853379080257
64,TARGET,64,0,0,0.3508298878445934
65,TARGET,65,0,0,0.3268374415998212
66,TARGET,66,0,0,0.30943640292740027
67,TARGET,67,0,0,0.3084596379192692
68,TARGET,68,0,0,0.33338608139637177
69,TARGET,69,0,0,0.30922174143095094
70,TARGET,70,1,0,0.3297780233508858
71,TARGET,71,0,0,0.31669401525999924
72,TARGET,72,0,0,0.3116257663284761
73,TARGET,73,0,0,0.3121424833808801
74,TARGET,74,0,0,0.3138802047252711
75,TARGET,75,0,0,0.31721322929409723
76,TARGET,76,1,0,0.3047097800798528
77,TARGET,77,0,0,0.32631718965015094
78,TARGET,78,1,0,0.32860576530885793
79,TARGET,79,0,0,0.3128264337556295
80,TARGET,80,0,0,0.3154045571722332
81,TARGET,81,0,0,0.31023883685724657
82,TARGET,82,0,0,0.3084596379192692
83,TARGET,83,1,0,0.327576242174957
84,TARGET,84,0,0,0.321871629663227
85,TARGET,85,0,0,0.32107155539028165
86,TARGET,86,1,0,0.3084062199942623
87,TARGET,87,1,0,0.33686678474732984
88,TARGET,88,0,0,0.31498725234071095
89,TARGET,89,0,0,0.3458627573631761
90,TARGET,90,0,0,0.31269336235765893
91,TARGET,91,0,0,0.3324867998921109
92,TARGET,92,0,0,0.31891840438242736
93,TARGET,93,0,0,0.31669649549066226
94,TARGET,94,1,0,0.30190922252990515
95,TARGET,95,0,0,0.3458637096629276
96,TARGET,96,0,0,0.31532503364085585
97,TARGET,97,0,0,0.3273894124812775
98,TARGET,98,0,0,0.32949557288090764
99,TARGET,99,0,0,0.3084596379192692
100,TARGET,100,0,0,0.3098864503781144
101,TARGET,101,0,0,0.31451432258039314
102,TARGET,102,0,0,0.3311505060639525
103,TARGET,103,0,0,0.3535233741863893
104,TARGET,104,1,0,0.31121772319200036
105,TARGET,105,0,0,0.319297731264942
106,TARGET,106,1,0,0.35195739748470717
107,TARGET,107,0,0,0.3408976385428329
108,TARGET,108,0,0,0.335128749862696
109,IMPRES,0,0,0,0.31991664653660845
110,IMPRES,1,0,0,0.39678195239017705
111,IMPRES,2,0,0,0.35574385625614413
112,IMPRES,3,0,0,0.2870473285748251
113,IMPRES,4,0,0,0.33733516929646795
114,IMPRES,5,1,0,0.37921078104269706
115,IMPRES,6,1,0,0.32759383755024707
116,IMPRES,7,1,0,0.32759383755024707
117,IMPRES,8,1,0,0.34454378810706604
118,IMPRES,9,0,0,0.35574385625614413
119,IMPRES,10,0,0,0.37544185472616093
120,IMPRES,11,0,0,0.3557438562561441
121,IMPRES,12,0,0,0.3557438562561441
122,IMPRES,13,0,0,0.3199166465366084
123,IMPRES,14,0,0,0.3199166465366084
124,IMPRES,15,0,0,0.3199166465366084
125,IMPRES,16,0,0,0.35574385625614413
126,IMPRES,17,0,0,0.337335169296468
127,IMPRES,18,0,0,0.3199166465366084
128,IMPRES,19,0,0,0.3199166465366084
129,IMPRES,20,0,0,0.30322997327860224
130,IMPRES,21,1,0,0.37921078104269706
131,IMPRES,22,1,0,0.3616762804509482
132,IMPRES,23,1,0,0.34454378810706604
133,IMPRES,24,0,0,0.337335169296468
134,IMPRES,25,1,0,0.32759383755024707
135,IMPRES,26,0,0,0.3557438562561441
136,IMPRES,27,0,0,0.3199166465366084
137,IMPRES,28,0,0,0.3199166465366084
138,IMPRES,29,1,0,0.34454378810706604
139,IMPRES,30,0,0,0.3557438562561441
140,IMPRES,31,0,0,0.3199166465366084
141,IMPRES,32,0,0,0.30322997327860224
142,IMPRES,33,0,0,0.337335169296468
143,IMPRES,34,1,0,0.34454378810706604
144,IMPRES,35,0,0,0.2870473285748251
145,IMPRES,36,1,0,0.29349578412043
146,IMPRES,37,0,0,0.3557438562561441
147,IMPRES,38,1,0,0.3616762804509482
148,IMPRES,39,1,0,0.3616762804509482
149,IMPRES,40,0,0,0.337335169296468
150,IMPRES,41,0,0,0.3557438562561441
151,IMPRES,42,1,0,0.3974042269219562
152,IMPRES,43,1,0,0.37921078104269706
153,IMPRES,44,1,0,0.32759383755024707
154,IMPRES,45,0,0,0.3557438562561441
155,IMPRES,46,1,0,0.29349578412043
156,IMPRES,47,1,0,0.34454378810706604
157,IMPRES,48,0,0,0.337335169296468
158,IMPRES,49,0,0,0.31991664653660845
159,IMPRES,50,1,0,0.29349578412043
160,IMPRES,51,0,0,0.33733516929646795
161,IMPRES,52,1,0,0.29349578412043
162,IMPRES,53,1,0,0.3616762804509482
163,IMPRES,54,1,0,0.32759383755024707
164,IMPRES,55,0,0,0.37544185472616093
165,IMPRES,56,1,0,0.3616762804509482
166,IMPRES,57,1,0,0.3616762804509482
167,IMPRES,58,0,0,0.3032299732786023
168,IMPRES,59,1,0,0.25808135943990856
169,IMPRES,60,0,0,0.337335169296468
170,IMPRES,61,0,0,0.3032299732786023
171,IMPRES,62,1,0,0.32759383755024707
172,IMPRES,63,0,0,0.3032299732786023
173,IMPRES,64,0,0,0.25538753087892185
174,IMPRES,65,0,0,0.2870473285748251
175,IMPRES,66,0,0,0.3032299732786023
176,IMPRES,67,0,0,0.271163127386572
177,IMPRES,68,0,0,0.3032299732786023
178,IMPRES,69,0,0,0.3032299732786023
179,IMPRES,70,1,0,0.29349578412043
180,IMPRES,71,0,0,0.2870473285748251
181,IMPRES,72,0,0,0.271163127386572
182,IMPRES,73,0,0,0.2870473285748251
183,IMPRES,74,0,0,0.3199166465366084
184,IMPRES,75,0,0,0.3032299732786023
185,IMPRES,76,1,0,0.3106346942518541
186,IMPRES,77,0,0,0.30322997327860224
187,IMPRES,78,1,0,0.29349578412043004
188,IMPRES,79,0,0,0.271163127386572
189,IMPRES,80,0,0,0.271163127386572
190,IMPRES,81,0,0,0.271163127386572
191,IMPRES,82,0,0,0.3032299732786023
192,IMPRES,83,1,0,0.310634694251854
193,IMPRES,84,0,0,0.2870473285748251
194,IMPRES,85,0,0,0.2870473285748251
195,IMPRES,86,1,0,0.3106346942518541
196,IMPRES,87,1,0,0.29349578412043
197,IMPRES,88,0,0,0.3032299732786023
198,IMPRES,89,0,0,0.3032299732786023
199,IMPRES,90,0,0,0.3032299732786023
200,IMPRES,91,0,0,0.3199166465366084
201,IMPRES,92,0,0,0.3032299732786023
202,IMPRES,93,0,0,0.3032299732786023
203,IMPRES,94,1,0,0.2760237990261943
204,IMPRES,95,0,0,0.3199166465366084
205,IMPRES,96,0,0,0.2870473285748251
206,IMPRES,97,0,0,0.2870473285748251
207,IMPRES,98,0,0,0.3032299732786023
208,IMPRES,99,0,0,0.2870473285748251
209,IMPRES,100,0,0,0.271163127386572
210,IMPRES,101,0,0,0.3199166465366084
211,IMPRES,102,0,0,0.33733516929646795
212,IMPRES,103,0,0,0.35574385625614413
213,IMPRES,104,1,0,0.3106346942518541
214,IMPRES,105,0,0,0.2870473285748251
215,IMPRES,106,1,0,0.37921078104269706
216,IMPRES,107,0,0,0.3199166465366084
217,IMPRES,108,0,0,0.2870473285748251
218,MIRACLE,0,0,0,0.3065800684297556
219,MIRACLE,1,0,0,0.3545546021447059
220,MIRACLE,2,0,0,0.3339397484078492
221,MIRACLE,3,0,0,0.3088687075450932
222,MIRACLE,4,0,0,0.32008000883050974
223,MIRACLE,5,1,0,0.3176671906422657
224,MIRACLE,6,1,0,0.3244427663899439
225,MIRACLE,7,1,0,0.31765134232442316
226,MIRACLE,8,1,0,0.3213998204612895
227,MIRACLE,9,0,0,0.3094469493863823
228,MIRACLE,10,0,0,0.3358470173097841
229,MIRACLE,11,0,0,0.3167308151748891
230,MIRACLE,12,0,0,0.3218618521692
231,MIRACLE,13,0,0,0.29946320647368097
232,MIRACLE,14,0,0,0.3072598514223105
233,MIRACLE,15,0,0,0.31415367327542687
234,MIRACLE,16,0,0,0.32605917164980647
235,MIRACLE,17,0,0,0.30874408125829184
236,MIRACLE,18,0,0,0.3191599189634552
237,MIRACLE,19,0,0,0.31547994050138456
238,MIRACLE,20,0,0,0.317239797000611
239,MIRACLE,21,1,0,0.31358200035319583
240,MIRACLE,22,1,0,0.3459729104701135
241,MIRACLE,23,1,0,0.31590812884527775
242,MIRACLE,24,0,0,0.31693886253860154
243,MIRACLE,25,1,0,0.3066191737215559
244,MIRACLE,26,0,0,0.3201489059288757
245,MIRACLE,27,0,0,0.29540472058901435
